RCP_NM,rcp_parts_dtls_cleaned
다이어트국수,"실곤약 물김치국물 오이 달걀 
당근 양파 통깨 레몬즙 
탄산수 어간장"
오징어구이,"오징어 미니파프리카 양파 청고추 홍고추 
 
올리고당 후추 참기름 
고명 볶은 현미"
배숙구이,배 후르츠칵테일 강청 방울토마토 탄산수
웰빙스테이크,"쇠고기등심 시금치 마늘 양파 건바질 
감자 레몬 파슬리가루 
 스 르네디종 홀그레인머스터 사과 버터"
오징어콩순대,"오징어 옥수수 귀리밥 강낭콩 
당근 미니파프리카 피망 파 양파 
카레가루 흰후추 다진마늘 참기름 밀가루 레몬즙"
토마토소고기장조림,"고기 우둔살 메추리알 방울토마토 마늘 꽈리고추 양파 
"
토마토소고기찜,"고기우둔살 샐러리 당근 양파 
화이트와인 홀토마토 버터 레몬 흰후추 파슬리가루 함초 금"
맛간장삼치구이,"삼치 강 파 통깨 버터 
 스 맛간장 강청 커피"
삼겹살꼬치구이,"삼겹살 방울토마토 마늘기름 후추 로즈마리 통후추 
 파 마늘 꽈리고추 
 파채 파 고춧가루 레몬즙"
새우아욱죽,귀리밥 아욱 건새우 칵테일새우 저염 된장
까르보나라뇨끼,"감자 깻잎 베이컨 백일송이 
다진마늘 다진양파 다진 파 흰후추 버터 우유 
생크림 설탕 치즈가루"
호박죽,"단호박 찹쌀가루 브로콜리 양파 볶은 현미 
버섯마늘 금 흰후추 치즈가루"
라이스버거떡갈비,"라이스버거 밥 맛간장 전분가루 팽이버섯 흰후추 달걀 
떡갈비 다진 고기 다진돼지고기 다진양파 다진쪽파 맛간장 후추 
토마토겉절이 토마토 미나리 맛간장 청고추 홍고추"
고추김치,"
 절임물 해물 어간장 
 통깨"
누룽닭,"닭가슴살 강즙 정종 시금치 
당근 양파 샐러리 파프리카 
느타리 주꾸미 새우 청경채 
누룽지 튀김기름 저염간장 
녹말가루 마늘 금 후춧가루"
광어스테이크,"광어 금 후춧가루 밀가루 
달걀 아몬드 호두 올리브오일 
 스 플레인요거트 꿀 레몬즙"
치즈감자크로켓,"감자 크림 당근 양파 오이 
 금 모짜렐라치즈 밀가루 달걀 
빵가루 튀김기름"
코코넛밀크카레,"두부 금 코코넛밀크 당근 
양파 브로컬리 돼지고기 감자 
버터 카레가루 물"
소고기리조또롤,"쌀 강황가루 버터 
마늘 양파 새송이 파프리카 
 고기 금 후춧가루 
하얀된장 크림"
둥지튀김,"닭고기살 금 후춧가루 달걀 
녹말가루 백년초국수 뽕잎국수 
치자국수 튀김기름 
 스 레몬 설탕 연유 물 
다진 마늘 강 식초 녹말가루"
새우와스테이크,"새우 버터 고기 로즈마리 
 금 후춧가루 
 스 와인 설탕 당근 양파 
토마토 마늘 파 발사믹 스 
 곁들임채 아스파라거스 브로컬리 
새송이 가지"
함초삼겹,"통삼겹살 함초가루 금 후춧가루 
부추 버터 
 스 유자청 쌈장 설탕 크림 
연두부 양파 당근"
햄버거스테이크,"다진 돼지고기 다진 고기 다진 마늘 
로즈마리 빵가루 후춧가루 파프리카 
 스 양파 플레인요거트 설탕 
매실액 식초 녹말가루 
 곁들임채 어린잎"
유자삼치구이,"삼치 금 녹말 식용유 
 스 강 유자청 레몬"
냉토마토파스타,"토마토 브로컬리 펜네 올리브오일 
후춧가루 
 스 마늘 양파 당근 방울토마토 
올리브오일 설탕 
 금 레몬즙 월계수잎"
닭고기또띠아,"또띠아 닭고기살 느타리버섯 사과 
오이 파프리카 애호박 양파 식초 
 스 아몬드 우유 머스터드 올리고당"
닭고기스테이크,"닭고기살 금 후춧가루 강 
정종 우유 오이 토마토 
두부 흑임자 우유"
오징어순대,"통오징어 양파 당근 부추 
견과류 두부 파 마늘 금 
녹말가루 정종 레몬 강"
연어차우더스프,"모시조 연어 청피망 당근 
양파 감자 밀가루 버터 
월계수잎 통후추 크림 통마늘"
시금치브로컬리 파스타,"새우 하 스파게티 시금치 
브로콜리 바질 크림 올리브오일 
 금"
야채찜을 곁들인 광어스테이크,"광어 당근 단호박 가지 
파프리카 콜리플라워 레몬 와사비 
발사믹 스 저염간장 청주"
연근부각,"연근 식초 천일염 계피가루 
식용유"
오이냉국을 곁들인 오색쌈밥,"돼지고기 안심 쌀 도라지 애호박 
양파 홍고추 미나리 오이 청포묵 
쌈무 달걀 라이스페이퍼 고추장 
 금 참기름 고춧가루"
카레탄두리치킨과 닭가슴살냉채,"닭고기 오곡 인삼 추 
아스파라거스 당근 양파 오이 
파프리카 카레가루 디종머스터드"
컬리플라워소스 광어스테이크,"광어 콜리플라워 감자 양파 
시금치 가지 단호박 당근 
우유 금 후춧가루"
콜라비오미자 물김치,"콜라비 오미자 무화과 파프리카 
피망 쪽파 양파 건새우 다시마 
 금"
크림소스치킨롤,"닭고기 가슴살 새우 하 베이컨 
마늘 바질 아스파라거스 새송이버섯 
치즈 버터 금 후춧가루"
표고버섯 감자찜,"표고버섯 감자 고수 당근 양파 
홍고추 녹말"
해물애호박 전병말이,"새우 오징어 애호박 당근 
깻잎 추 밀가루 찹쌀가루 
저염간장 식초 설탕 금"
찬밥이용닭죽,찬밥 닭다리살 감자 통마늘 양파 당근 부추 물 금 후춧가루
감자느타리버섯국,감자 느타리버섯 두부 파 물 국멸치 홍고추 건다시마 다진 마늘 금
,
아몬드치킨볼,"
밀가루 우유 들깻가루 브로콜리 마늘 
 닭뼈 양파 양송이버섯 밑동 마늘"
양배추롤,"
얇게 썬 쇠고기 부채살 송송 썬 붉은 고추 
달래무침 달래 간장 참기름"
생선베이컨말이,"
동태포 저염버터 크림 새싹채"
콩고기샐러드,"
연근 방울토마토 만두피 
 설탕 
허브오일 저염 금 식초 로즈마리 통후추 
올리브유 꿀"
퀴노아닭가슴살샐러드,"
양파 피망 아스파라거스 퀴노아 리코타치즈 
양상추 플레인 요구르트 어린잎채 
복분자 스 복분자 레몬즙"
바나나크림파스타,"
바질가루 마늘 양파 휘핑크림 저염치즈 
우유 금 스파게티면"
산채쌀파스타,"
오이 붉은 고추 풋고추 쌀파스타면 
파스타 스 된장 청국장 양파 애호박 으깬 두부 
다진 마늘 들기름"
황태포당면국수,"
달걀 당면 쑥갓 
 멸치 황태포 
 후춧가루"
닭갈비볶음면,"
방울토마토 닭가슴살 이태리시즈닝 라면 
 참기름"
오색볶음면,"
쪽파 라면 채 썬 돼지고기 
 라면스프"
로제소스라면,"
토마토 라면 우유 크림 월계수잎 
정향 파르메산 치즈가루 파슬리가루"
라면월남쌈튀김,"
레드와인 매실청 라이스페이퍼 달걀 
빵가루 어린잎채 
 물 
다진 양파 다진 파 다진 마늘"
삼겹살라면,"
 돼지고기 삼겹살 파 얇게 썬 강 가다랑어포 
 흑설탕"
유자샐러드라면,"
유자 식초 레몬즙 유자청 올리브유"
주꾸미머리순대,"주꾸미 미나리 양파 당근 계란 
다진마늘 강청 레몬즙 
 스 고추장 레몬즙 강청 통깨"
매실동치미,"무 연근 사과 배 함초 금 
국물 매실청 강청 함초 금 청양고추"
조기까스,"조기 허브크러스트 흰 후추 화이트와인 마늘오일 전분 
 스 고추장 저염간장 화이트와인 버터 
다진양파 흰후추 마늘오일"
돼지머리수육맑은전골,"돼지머리 우동면 미나리 청고추 
 스 일본 된장 다진마늘 다진 파 청주 무 
 해물 청양고추 맛간장"
파인애플볶음밥,"밥 칵테일새우 파인애플 통조림 양파 청고추 
노란파프리카 빨간파프리카 마늘 계란 마늘기름 
흰후추 레몬 금 맛간장 통깨"
연근초무침,"연근 양파 오이 밤 
 스 유자청 강황가루 잣 설탕 식초"
코다리맑은찜,"코다리 콩나물 미나리 함초 무 함초 금 
 
레몬즙 다진마늘 연겨자 통깨"
뿌리채소두부선,"두부 전분 계란 흰후추 
 우엉 인삼 감자 청고추 홍고추 마늘기름 흰후추 
 스 일본된장 마늘기름 들기름 식초 올리고당 
마요네즈 땅콩잼 참깨"
사과장아찌,"풋사과 양파 청고추 홍고추 
 스 맛간장 식초 설탕 강청 매실청 청주"
